id,subject,domain,basis,stem
m-bank-r15,maths,6A3,bank-domain:algebra,"Find the value of n.

n + 7 = 19"
m-bank-r16,maths,6C8,bank-domain:statistics,"Which chart is best for showing how a value changes over time?"
m-bank-r17,maths,6C8,bank-domain:statistics,"The mean of four numbers is 6.

What is the total of the four numbers?"
m-bank-r18,maths,6C8,bank-domain:multiplication_division,"A box holds 36 apples.

The apples are shared equally between 9 children.

How m"
m-bank-r19,maths,6C8,bank-domain:angles,"What is the size of a right angle?"
m-bank-r20,maths,6C8,bank-domain:problem_solving,"A book costs £4.75.

How much do 3 books cost?"
m-bank-r21,maths,6C8,bank-domain:money,"Amir buys a drink for £1.35.

He pays with a £2 coin.

How much change does he g"
m-bank-r22,maths,6C8,bank-domain:shape_properties,"Which statement about a parallelogram is true?"
m-bank-r23,maths,6C8,bank-domain:fractions_of_amounts,"What is 3/8 of 64?"
m-bank-r24,maths,6C8,bank-domain:time,"A lesson lasts 45 minutes.

It starts at 10:10.

What time does it end?"
m-bank-r25,maths,6C8,bank-domain:estimation,"Which is the best estimate for 198 × 6?"
wu-d0s0q0,gps,G1,warmup default,"In the sentence 'The dog barked loudly at the postman', what word class is 'loud"
wu-d0s0q1,gps,G1,warmup default,"Which sentence uses a colon correctly?"
wu-d0s0q2,gps,G1,warmup default,"Which sentence uses a plural possessive apostrophe correctly?"
wu-d0s0q3,gps,G1,warmup default,"'By the time the lesson ended, she had finished her work.' What tense is used?"
wu-d0s0q4,gps,G1,warmup default,"What does the prefix 'auto-' mean?"
wu-d0s0q5,gps,G1,warmup default,"Adding the suffix '-tion' to the verb 'explain' creates which word class?"
wu-d0s0q6,gps,G1,warmup default,"Which word is a subordinating conjunction?"
wu-d0s0q7,gps,G1,warmup default,"Which sentence punctuates direct speech correctly?"
wu-d0s1q0,gps,G1,warmup default,"'The book, which I borrowed from the library, was fascinating.' What type of cla"
wu-d0s1q1,gps,G1,warmup default,"Which is an expanded noun phrase?"
wu-d0s1q2,gps,G1,warmup default,"Which sentence uses a semicolon correctly?"
wu-d0s1q3,gps,G1,warmup default,"Which sentence uses the subjunctive mood correctly?"
wu-d0s1q4,gps,G1,warmup default,"Which word is a determiner?"
wu-d0s1q5,gps,G1,warmup default,"Which word uses the prefix 'mis-' correctly to mean 'wrongly'?"
wu-d0s1q6,gps,G1,warmup default,"The suffix '-less' means:"
wu-d0s1q7,gps,G1,warmup default,"Which sentence uses brackets for parenthesis correctly?"
wu-d0s2q0,gps,G1,warmup default,"Which sentence is in the passive voice?"
wu-d0s2q1,gps,G1,warmup default,"Which word is a modal verb?"
wu-d0s2q2,gps,G1,warmup default,"Which sentence uses a hyphen correctly?"
wu-d0s2q3,gps,G1,warmup default,"'She has been reading for two hours.' What tense is this?"
wu-d0s2q4,gps,G1,warmup default,"Which word contains the root meaning 'to write'?"
wu-d0s2q5,gps,G1,warmup default,"Which pair are both coordinating conjunctions?"
wu-d0s2q6,gps,G1,warmup default,"Which sentence contains a relative pronoun?"
wu-d0s2q7,gps,G1,warmup default,"Which is the most formal version of this sentence?"
wu-d1s0q0,reading,2b,warmup default,"'Amara grabbed her umbrella and pulled her coat tighter as she stepped outside.'"
wu-d1s0q1,reading,2b,warmup default,"'James slammed his book shut and stared at the ceiling.' What can you infer abou"
wu-d1s0q2,reading,2b,warmup default,"'The ancient ruins were shrouded in mystery.' What does 'shrouded' mean here?"
wu-d1s0q3,reading,2b,warmup default,"A pupil claims: 'The author wants us to feel sorry for the character.' Which evi"
wu-d1s0q4,reading,2b,warmup default,"Which sentence contains a simile?"
wu-d1s0q5,reading,2b,warmup default,"An author uses short, punchy sentences in an action scene. What effect does this"
wu-d1s0q6,reading,2b,warmup default,"'Peter Piper picked a peck of pickled peppers.' This is an example of:"
wu-d1s0q7,reading,2b,warmup default,"Which word is closest in meaning to 'magnificent'?"
wu-d1s1q0,reading,2b,warmup default,"Which features suggest a text is a newspaper report?"
wu-d1s1q1,reading,2b,warmup default,"Which sentence is a fact?"
wu-d1s1q2,reading,2b,warmup default,"'Maya stared at her untouched plate. The smell of her favourite meal filled the "
wu-d1s1q3,reading,2b,warmup default,"'The politician gave an eloquent speech.' What does 'eloquent' mean?"
wu-d1s1q4,reading,2b,warmup default,"What is the effect of repetition in a poem?"
wu-d1s1q5,reading,2b,warmup default,"An author describes a forest as 'dark, silent, and still'. What atmosphere does "
wu-d1s1q6,reading,2b,warmup default,"What is a metaphor?"
wu-d1s1q7,reading,2b,warmup default,"When a question asks you to 'explain', what should you do?"
wu-d1s2q0,reading,2b,warmup default,"Why might an author start a story with dialogue?"
wu-d1s2q1,reading,2b,warmup default,"'The scientist's discovery was groundbreaking.' What does 'groundbreaking' mean?"
wu-d1s2q2,reading,2b,warmup default,"'The waves crashed and roared against the cliff.' What technique is used?"
wu-d1s2q3,reading,2b,warmup default,"Which type of question asks you to find information stated directly in the text?"
wu-d1s2q4,reading,2b,warmup default,"What does 'personification' mean?"
wu-d1s2q5,reading,2b,warmup default,"'She was reluctant to speak in front of the class.' What does 'reluctant' mean?"
wu-d1s2q6,reading,2b,warmup default,"Which is a good example of point-evidence-explain (PEE)?"
wu-d1s2q7,reading,2b,warmup default,"Which feature is typical of a persuasive text?"
wu-d2s0q0,maths,6N2,warmup default,"What is 24 × 35?"
wu-d2s0q1,maths,6N2,warmup default,"What is ¾ of 80?"
wu-d2s0q2,maths,6N2,warmup default,"What is 0.7 + 0.45?"
wu-d2s0q3,maths,6N2,warmup default,"What is 3 + 4 × 2?"
wu-d2s0q4,maths,6N2,warmup default,"What is 756 ÷ 4?"
wu-d2s0q5,maths,6N2,warmup default,"What is 15% of 200?"
wu-d2s0q6,maths,6N2,warmup default,"Which set of fractions is in ascending order (smallest first)?"
wu-d2s0q7,maths,6N2,warmup default,"Which fraction is equivalent to 4/6?"
wu-d2s1q0,maths,6N2,warmup default,"What is 36 × 25?"
wu-d2s1q1,maths,6N2,warmup default,"What is 2/5 of 60?"
wu-d2s1q2,maths,6N2,warmup default,"What is 3.40 − 1.76?"
wu-d2s1q3,maths,6N2,warmup default,"What is (3 + 5) × 2 − 4?"
wu-d2s1q4,maths,6N2,warmup default,"What is 504 ÷ 6?"
wu-d2s1q5,maths,6N2,warmup default,"What is 40% of 350?"
wu-d2s1q6,maths,6N2,warmup default,"What is ½ + ⅓?"
wu-d2s1q7,maths,6N2,warmup default,"What is the value of the digit 7 in the number 3.478?"
wu-d2s2q0,maths,6N2,warmup default,"What is 45 × 18?"
wu-d2s2q1,maths,6N2,warmup default,"What fraction of 48 is 12?"
wu-d2s2q2,maths,6N2,warmup default,"What is 0.6 × 0.4?"
wu-d2s2q3,maths,6N2,warmup default,"What is 20 − 4² ÷ 2?"
wu-d2s2q4,maths,6N2,warmup default,"What is 250 ÷ 8?"
wu-d2s2q5,maths,6N2,warmup default,"What is 35% as a fraction in its simplest form?"
wu-d2s2q6,maths,6N2,warmup default,"What is ¾ − ⅓?"
wu-d2s2q7,maths,6N2,warmup default,"Which shows 0.3, ¼, 2/5 and 0.28 in descending order (largest first)?"
wu-d3s0q0,maths,6N2,warmup default,"How many metres are in 3.5 km?"
wu-d3s0q1,maths,6N2,warmup default,"What is the area of a rectangle with length 9 cm and width 7 cm?"
wu-d3s0q2,maths,6N2,warmup default,"What is the sum of the interior angles in a triangle?"
wu-d3s0q3,maths,6N2,warmup default,"What is the mean of 3, 7, 8 and 2?"
wu-d3s0q4,maths,6N2,warmup default,"Simplify the ratio 12 : 8."
wu-d3s0q5,maths,6N2,warmup default,"How many faces does a cube have?"
wu-d3s0q6,maths,6N2,warmup default,"A bag weighs 2,500 g. How much is this in kilograms?"
wu-d3s0q7,maths,6N2,warmup default,"What is the area of a triangle with base 8 cm and height 5 cm?"
wu-d3s1q0,maths,6N2,warmup default,"How many centimetres are in 2.5 metres?"
wu-d3s1q1,maths,6N2,warmup default,"What is the perimeter of a rectangle with length 12 cm and width 5 cm?"
wu-d3s1q2,maths,6N2,warmup default,"What type of angle is 145°?"
wu-d3s1q3,maths,6N2,warmup default,"What is the mode of: 3, 5, 7, 3, 8, 5, 3, 2?"
wu-d3s1q4,maths,6N2,warmup default,"A recipe uses flour and sugar in a ratio of 3 : 1. If you use 120 g of flour, ho"
wu-d3s1q5,maths,6N2,warmup default,"How many edges does a triangular prism have?"
wu-d3s1q6,maths,6N2,warmup default,"What is the volume of a cuboid with length 4 cm, width 3 cm, and height 5 cm?"
wu-d3s1q7,maths,6N2,warmup default,"A point at (3, 4) is reflected in the y-axis. What are its new coordinates?"
wu-d3s2q0,maths,6N2,warmup default,"A train leaves at 09:45 and arrives at 12:20. How long is the journey?"
wu-d3s2q1,maths,6N2,warmup default,"An L-shape is made of two rectangles: one 8 cm × 3 cm and one 4 cm × 5 cm. What "
wu-d3s2q2,maths,6N2,warmup default,"Angles on a straight line add up to:"
wu-d3s2q3,maths,6N2,warmup default,"What is the range of: 4, 9, 2, 15, 7?"
wu-d3s2q4,maths,6N2,warmup default,"In a class of 30 pupils, 12 walk to school. What fraction walk to school, in its"
wu-d3s2q5,maths,6N2,warmup default,"Which shape has exactly one line of symmetry?"
wu-d3s2q6,maths,6N2,warmup default,"A jug holds 2.5 litres. How many 200 ml glasses can it completely fill?"
wu-d3s2q7,maths,6N2,warmup default,"The angles of a quadrilateral are 85°, 110°, 70°, and x°. What is x?"
